id,municipality,state,latitude,longitude
3547,Paratinga,Bahia,-12.687,-43.1798
3548,Paraú,Rio Grande do Norte,-5.76893,-37.1032
3549,Parauapebas,Pará,-6.06781,-49.9037
3550,Paraúna,Goiás,-16.9463,-50.4484
3551,Parazinho,Rio Grande do Norte,-5.22276,-35.8398
3552,Pardinho,São Paulo,-23.0841,-48.3679
3553,Pareci Novo,Rio Grande do Sul,-29.6365,-51.3974
3554,Parecis,Rondônia,-12.1754,-61.6032
3555,Parelhas,Rio Grande do Norte,-6.68491,-36.6566
3556,Pariconha,Alagoas,-9.25634,-37.9988
3557,Parintins,Amazonas,-2.63741,-56.729
3558,Paripiranga,Bahia,-10.6859,-37.8626
3559,Paripueira,Alagoas,-9.46313,-35.552
3560,Pariquera-Açu,São Paulo,-24.7147,-47.8742
3561,Parisi,São Paulo,-20.3034,-50.0163
3562,Parnaguá,Piauí,-10.2166,-44.63
3563,Parnaíba,Piauí,-2.90585,-41.7754
3564,Parnamirim,Rio Grande do Norte,-5.91116,-35.271
3565,Parnamirim,Pernambuco,-8.08729,-39.5795
3566,Parnarama,Maranhão,-5.67365,-43.1011
3567,Parobé,Rio Grande do Sul,-29.6243,-50.8312
3568,Passa e Fica,Rio Grande do Norte,-6.43018,-35.6442
3569,Passa Quatro,Minas Gerais,-22.3871,-44.9709
3570,Passa Sete,Rio Grande do Sul,-29.4577,-52.9599
3571,Passa Tempo,Minas Gerais,-20.6539,-44.4926
3572,Passabém,Minas Gerais,-19.3509,-43.1383
3573,Passagem,Paraíba,-7.13467,-37.0433
3574,Passagem,Rio Grande do Norte,-6.27268,-35.37
3575,Passagem Franca,Maranhão,-6.17745,-43.7755
3576,Passagem Franca do Piauí,Piauí,-5.86036,-42.4436
3577,Passira,Pernambuco,-7.9971,-35.5813
3578,Passo de Camaragibe,Alagoas,-9.24511,-35.4745
3579,Passo de Torres,Santa Catarina,-29.3099,-49.722
3580,Passo do Sobrado,Rio Grande do Sul,-29.748,-52.2748
3581,Passo Fundo,Rio Grande do Sul,-28.2576,-52.4091
3582,Passos,Minas Gerais,-20.7193,-46.609
3583,Passos Maia,Santa Catarina,-26.7829,-52.0568
3584,Pastos Bons,Maranhão,-6.60296,-44.0745
3585,Patis,Minas Gerais,-16.0773,-44.0787
3586,Pato Branco,Paraná,-26.2292,-52.6706
3587,Patos,Paraíba,-7.01743,-37.2747
3588,Patos de Minas,Minas Gerais,-18.5699,-46.5013
3589,Patos do Piauí,Piauí,-7.67231,-41.2408
3590,Patrocínio,Minas Gerais,-18.9379,-46.9934
3591,Patrocínio do Muriaé,Minas Gerais,-21.1544,-42.2125
3592,Patrocínio Paulista,São Paulo,-20.6384,-47.2801
3593,Patu,Rio Grande do Norte,-6.10656,-37.6356
3594,Paty do Alferes,Rio de Janeiro,-22.4309,-43.4285
3595,Pau Brasil,Bahia,-15.4572,-39.6458
3596,Pau D'Arco,Tocantins,-7.53919,-49.367
3597,Pau D'Arco do Piauí,Piauí,-5.26072,-42.3908
3598,Pau dos Ferros,Rio Grande do Norte,-6.10498,-38.2077
3599,Paudalho,Pernambuco,-7.90287,-35.1716
3600,Pauini,Amazonas,-7.71311,-66.992
3601,Paula Cândido,Minas Gerais,-20.8754,-42.9752
3602,Paula Freitas,Paraná,-26.2105,-50.931
3603,Paulicéia,São Paulo,-21.3153,-51.8321
3604,Paulínia,São Paulo,-22.7542,-47.1488
3605,Paulino Neves,Maranhão,-2.72094,-42.5258
3606,Paulista,Paraíba,-6.59138,-37.6185
3607,Paulista,Pernambuco,-7.93401,-34.8684
3608,Paulistana,Piauí,-8.13436,-41.1431
3609,Paulistânia,São Paulo,-22.5768,-49.4008
3610,Paulistas,Minas Gerais,-18.4276,-42.8628
3611,Paulo Afonso,Bahia,-9.3983,-38.2216
3612,Paulo Bento,Rio Grande do Sul,-27.7051,-52.4169
3613,Paulo de Faria,São Paulo,-20.0296,-49.4
3614,Paulo Frontin,Paraná,-26.0466,-50.8304
3615,Paulo Jacinto,Alagoas,-9.36792,-36.3672
3616,Paulo Lopes,Santa Catarina,-27.9607,-48.6864
3617,Paulo Ramos,Maranhão,-4.44485,-45.2398
3618,Pavão,Minas Gerais,-17.4267,-41.0035
3619,Paverama,Rio Grande do Sul,-29.5486,-51.7339
3620,Pavussu,Piauí,-7.96059,-43.2284
3621,Pé de Serra,Bahia,-11.8313,-39.611
3622,Peabiru,Paraná,-23.914,-52.3431
3623,Peçanha,Minas Gerais,-18.5441,-42.5583
3624,Pederneiras,São Paulo,-22.3511,-48.7781
3625,Pedra,Pernambuco,-8.49641,-36.94
3626,Pedra Azul,Minas Gerais,-16.0086,-41.2909
3627,Pedra Bela,São Paulo,-22.7902,-46.4455
3628,Pedra Bonita,Minas Gerais,-20.5219,-42.3304
3629,Pedra Branca,Paraíba,-7.42169,-38.0689
3630,Pedra Branca,Ceará,-5.45341,-39.7078
3631,Pedra Branca do Amapari,Amapá,0.777424,-51.9503
3632,Pedra do Anta,Minas Gerais,-20.5968,-42.7123
3633,Pedra do Indaiá,Minas Gerais,-20.2563,-45.2107
3634,Pedra Dourada,Minas Gerais,-20.8266,-42.1515
3635,Pedra Grande,Rio Grande do Norte,-5.14988,-35.876
3636,Pedra Lavrada,Paraíba,-6.74997,-36.4758
3637,Pedra Mole,Sergipe,-10.6134,-37.6922
3638,Pedra Preta,Mato Grosso,-16.6245,-54.4722
3639,Pedra Preta,Rio Grande do Norte,-5.57352,-36.1084
3640,Pedralva,Minas Gerais,-22.2386,-45.4654
3641,Pedranópolis,São Paulo,-20.2474,-50.1129
3642,Pedrão,Bahia,-12.1491,-38.6487
3643,Pedras Altas,Rio Grande do Sul,-31.7365,-53.5814
3644,Pedras de Fogo,Paraíba,-7.39107,-35.1065
3645,Pedras de Maria da Cruz,Minas Gerais,-15.6032,-44.391
3646,Pedras Grandes,Santa Catarina,-28.4339,-49.1949
3647,Pedregulho,São Paulo,-20.2535,-47.4775
3648,Pedreira,São Paulo,-22.7413,-46.8948
3649,Pedreiras,Maranhão,-4.56482,-44.6006
3650,Pedrinhas,Sergipe,-11.1902,-37.6775
3651,Pedrinhas Paulista,São Paulo,-22.8174,-50.7933
3652,Pedrinópolis,Minas Gerais,-19.2241,-47.4579
3653,Pedro Afonso,Tocantins,-8.97034,-48.1729
3654,Pedro Alexandre,Bahia,-10.012,-37.8932
3655,Pedro Avelino,Rio Grande do Norte,-5.5161,-36.3867
3656,Pedro Canário,Espírito Santo,-18.3004,-39.9574
3657,Pedro de Toledo,São Paulo,-24.2764,-47.2354
3658,Pedro do Rosário,Maranhão,-2.97272,-45.3493
3659,Pedro Gomes,Mato Grosso do Sul,-18.0996,-54.5507
3660,Pedro II,Piauí,-4.42585,-41.4482
3661,Pedro Laurentino,Piauí,-8.06807,-42.2847
3662,Pedro Leopoldo,Minas Gerais,-19.6308,-44.0383
3663,Pedro Osório,Rio Grande do Sul,-31.8642,-52.8184
3664,Pedro Régis,Paraíba,-6.63323,-35.2966
3665,Pedro Teixeira,Minas Gerais,-21.7076,-43.743
3666,Pedro Velho,Rio Grande do Norte,-6.4356,-35.2195
3667,Peixe,Tocantins,-12.0254,-48.5395
3668,Peixoto de Azevedo,Mato Grosso,-10.2262,-54.9794
3669,Pejuçara,Rio Grande do Sul,-28.4283,-53.6579
3670,Pelotas,Rio Grande do Sul,-31.7649,-52.3371
3671,Penaforte,Ceará,-7.82163,-39.0707
3672,Penalva,Maranhão,-3.27674,-45.1768
3673,Penápolis,São Paulo,-21.4148,-50.0769
3674,Pendências,Rio Grande do Norte,-5.2564,-36.7095
3675,Penedo,Alagoas,-10.2874,-36.5819
3676,Penha,Santa Catarina,-26.7754,-48.6465
3677,Pentecoste,Ceará,-3.79274,-39.2692
3678,Pequeri,Minas Gerais,-21.8341,-43.1145
3679,Pequi,Minas Gerais,-19.6284,-44.6604
3680,Pequizeiro,Tocantins,-8.5932,-48.9327
3681,Perdigão,Minas Gerais,-19.9411,-45.078
3682,Perdizes,Minas Gerais,-19.3434,-47.2963
3683,Perdões,Minas Gerais,-21.0932,-45.0896
3684,Pereira Barreto,São Paulo,-20.6368,-51.1123
3685,Pereiras,São Paulo,-23.0804,-47.972
3686,Pereiro,Ceará,-6.03576,-38.4624
3687,Peri Mirim,Maranhão,-2.57676,-44.8504
3688,Periquito,Minas Gerais,-19.1573,-42.2333
3689,Peritiba,Santa Catarina,-27.3754,-51.9018
3690,Peritoró,Maranhão,-4.37459,-44.3369
3691,Perobal,Paraná,-23.8949,-53.4098
3692,Pérola,Paraná,-23.8039,-53.6834
3693,Perolândia,Goiás,-17.5258,-52.065
3694,Peruíbe,São Paulo,-24.312,-47.0012
3695,Pescador,Minas Gerais,-18.357,-41.6006
3696,Pesqueira,Pernambuco,-8.35797,-36.6978
3697,Petrolândia,Pernambuco,-9.06863,-38.3027
3698,Petrolândia,Santa Catarina,-27.5346,-49.6937
3699,Petrolina,Pernambuco,-9.38866,-40.5027
3700,Petrolina de Goiás,Goiás,-16.0968,-49.3364
3701,Petrópolis,Rio de Janeiro,-22.52,-43.1926
3702,Piaçabuçu,Alagoas,-10.406,-36.434
3703,Piacatu,São Paulo,-21.5921,-50.6003
3704,Piancó,Paraíba,-7.19282,-37.9289
3705,Piatã,Bahia,-13.1465,-41.7702
3706,Piau,Minas Gerais,-21.5096,-43.313
3707,Picada Café,Rio Grande do Sul,-29.4464,-51.1367
3708,Piçarra,Pará,-6.43778,-48.8716
3709,Picos,Piauí,-7.07721,-41.467
3710,Picuí,Paraíba,-6.50845,-36.3497
3711,Piedade,São Paulo,-23.7139,-47.4256
3712,Piedade de Caratinga,Minas Gerais,-19.7593,-42.0756
3713,Piedade de Ponte Nova,Minas Gerais,-20.2438,-42.7379
3714,Piedade do Rio Grande,Minas Gerais,-21.469,-44.1938
3715,Piedade dos Gerais,Minas Gerais,-20.4715,-44.2243
3716,Piên,Paraná,-26.0965,-49.4336
3717,Pilão Arcado,Bahia,-10.0051,-42.4936
3718,Pilar,Alagoas,-9.60135,-35.9543
3719,Pilar,Paraíba,-7.26403,-35.2523
3720,Pilar de Goiás,Goiás,-14.7608,-49.5784
3721,Pilar do Sul,São Paulo,-23.8077,-47.7222
3722,Pilões,Rio Grande do Norte,-6.26364,-38.0461
3723,Pilões,Paraíba,-6.86827,-35.613
3724,Pilõezinhos,Paraíba,-6.84277,-35.531
3725,Pimenta,Minas Gerais,-20.4827,-45.8049
3726,Pimenta Bueno,Rondônia,-11.672,-61.198
3727,Pimenteiras,Piauí,-6.23839,-41.4113
3728,Pimenteiras do Oeste,Rondônia,-13.4823,-61.0471
3729,Pindaí,Bahia,-14.4921,-42.686
3730,Pindamonhangaba,São Paulo,-22.9246,-45.4613
3731,Pindaré-Mirim,Maranhão,-3.60985,-45.342
3732,Pindoba,Alagoas,-9.47382,-36.2918
3733,Pindobaçu,Bahia,-10.7433,-40.3675
3734,Pindorama,São Paulo,-21.1853,-48.9086
3735,Pindorama do Tocantins,Tocantins,-11.1311,-47.5726
3736,Pindoretama,Ceará,-4.01584,-38.3061
3737,Pinhais,Paraná,-25.4429,-49.1927
3738,Pinhal,Rio Grande do Sul,-27.508,-53.2082
3739,Pinhal da Serra,Rio Grande do Sul,-27.8751,-51.1673
3740,Pinhal de São Bento,Paraná,-26.0324,-53.482
3741,Pinhal Grande,Rio Grande do Sul,-29.345,-53.3206
3742,Pinhalão,Paraná,-23.7982,-50.0536
3743,Pinhalzinho,São Paulo,-22.7811,-46.5897
3744,Pinhalzinho,Santa Catarina,-26.8495,-52.9913
3745,Pinhão,Sergipe,-10.5677,-37.7242
3746,Pinhão,Paraná,-25.6944,-51.6536
3747,Pinheiral,Rio de Janeiro,-22.5172,-44.0022
3748,Pinheirinho do Vale,Rio Grande do Sul,-27.2109,-53.608
3749,Pinheiro,Maranhão,-2.52224,-45.0788
3750,Pinheiro Machado,Rio Grande do Sul,-31.5794,-53.3798
3751,Pinheiro Preto,Santa Catarina,-27.0483,-51.2243
3752,Pinheiros,Espírito Santo,-18.4141,-40.2171
3753,Pintadas,Bahia,-11.8117,-39.9009
3754,Pintópolis,Minas Gerais,-16.0572,-45.1402
3755,Pio IX,Piauí,-6.83002,-40.6083
3756,Pio XII,Maranhão,-3.89315,-45.1759
3757,Piquerobi,São Paulo,-21.8747,-51.7282
3758,Piquet Carneiro,Ceará,-5.80025,-39.417
3759,Piquete,São Paulo,-22.6069,-45.1869
3760,Piracaia,São Paulo,-23.0525,-46.3594
3761,Piracanjuba,Goiás,-17.302,-49.017
3762,Piracema,Minas Gerais,-20.5089,-44.4783
3763,Piracicaba,São Paulo,-22.7338,-47.6476
3764,Piracuruca,Piauí,-3.93335,-41.7088
3765,Piraí,Rio de Janeiro,-22.6215,-43.9081
3766,Piraí do Norte,Bahia,-13.759,-39.3836
3767,Piraí do Sul,Paraná,-24.5306,-49.9433
3768,Piraju,São Paulo,-23.1981,-49.3803
3769,Pirajuba,Minas Gerais,-19.9092,-48.7027
3770,Pirajuí,São Paulo,-21.999,-49.4608
3771,Pirambu,Sergipe,-10.7215,-36.8544
3772,Piranga,Minas Gerais,-20.6834,-43.2967
3773,Pirangi,São Paulo,-21.0886,-48.6607
3774,Piranguçu,Minas Gerais,-22.5249,-45.4945
3775,Piranguinho,Minas Gerais,-22.395,-45.5324
3776,Piranhas,Alagoas,-9.624,-37.757
3777,Piranhas,Goiás,-16.4258,-51.8235
3778,Pirapemas,Maranhão,-3.72041,-44.2216
3779,Pirapetinga,Minas Gerais,-21.6554,-42.3434
3780,Pirapó,Rio Grande do Sul,-28.0439,-55.2001
3781,Pirapora,Minas Gerais,-17.3392,-44.934
3782,Pirapora do Bom Jesus,São Paulo,-23.3965,-46.9991
3783,Pirapozinho,São Paulo,-22.2711,-51.4976
3784,Piraquara,Paraná,-25.4422,-49.0624
3785,Piraquê,Tocantins,-6.77302,-48.2958
3786,Pirassununga,São Paulo,-21.996,-47.4257
3787,Piratini,Rio Grande do Sul,-31.4473,-53.0973
3788,Piratininga,São Paulo,-22.4142,-49.1339
3789,Piratuba,Santa Catarina,-27.4242,-51.7668
3790,Piraúba,Minas Gerais,-21.2825,-43.0172
3791,Pirenópolis,Goiás,-15.8507,-48.9584
3792,Pires do Rio,Goiás,-17.3019,-48.2768
3793,Pires Ferreira,Ceará,-4.23922,-40.6442
3794,Piripá,Bahia,-14.9444,-41.7168
3795,Piripiri,Piauí,-4.27157,-41.7716
3796,Piritiba,Bahia,-11.73,-40.5587
3797,Pirpirituba,Paraíba,-6.77922,-35.4906
3798,Pitanga,Paraná,-24.7588,-51.7596
3799,Pitangueiras,São Paulo,-21.0132,-48.221
3800,Pitangueiras,Paraná,-23.2281,-51.5873
3801,Pitangui,Minas Gerais,-19.6741,-44.8964
3802,Pitimbu,Paraíba,-7.4664,-34.8151
3803,Pium,Tocantins,-10.442,-49.1876
3804,Piúma,Espírito Santo,-20.8334,-40.7268
3805,Piumhi,Minas Gerais,-20.4762,-45.9589
3806,Placas,Pará,-3.86813,-54.2124
3807,Plácido de Castro,Acre,-10.2806,-67.1371
3808,Planaltina,Goiás,-15.452,-47.6089
3809,Planaltina do Paraná,Paraná,-23.0101,-52.9162
3810,Planaltino,Bahia,-13.2618,-40.3695
3811,Planalto,Rio Grande do Sul,-27.3297,-53.0575
3812,Planalto,São Paulo,-21.0342,-49.933
3813,Planalto,Paraná,-25.7211,-53.7642
3814,Planalto,Bahia,-14.6654,-40.4718
3815,Planalto Alegre,Santa Catarina,-27.0704,-52.867
3816,Planalto da Serra,Mato Grosso,-14.6518,-54.7819
3817,Planura,Minas Gerais,-20.1376,-48.7
3818,Platina,São Paulo,-22.6371,-50.2104
3819,Poá,São Paulo,-23.5333,-46.3473
3820,Poção,Pernambuco,-8.18726,-36.7111
3821,Poção de Pedras,Maranhão,-4.74626,-44.9432
3822,Pocinhos,Paraíba,-7.06658,-36.0668
3823,Poço Branco,Rio Grande do Norte,-5.62233,-35.6635
3824,Poço Dantas,Paraíba,-6.39876,-38.4909
3825,Poço das Antas,Rio Grande do Sul,-29.4481,-51.6719
3826,Poço das Trincheiras,Alagoas,-9.30742,-37.2889
3827,Poço de José de Moura,Paraíba,-6.56401,-38.5111
3828,Poço Fundo,Minas Gerais,-21.78,-45.9658
3829,Poço Redondo,Sergipe,-9.80616,-37.6833
3830,Poço Verde,Sergipe,-10.7151,-38.1813
3831,Poções,Bahia,-14.5234,-40.3634
3832,Poconé,Mato Grosso,-16.266,-56.6261
3833,Poços de Caldas,Minas Gerais,-21.78,-46.5692
3834,Pocrane,Minas Gerais,-19.6208,-41.6334
3835,Pojuca,Bahia,-12.4303,-38.3374
3836,Poloni,São Paulo,-20.7829,-49.8258
3837,Pombal,Paraíba,-6.76606,-37.8003
3838,Pombos,Pernambuco,-8.13982,-35.3967
3839,Pomerode,Santa Catarina,-26.7384,-49.1785
3840,Pompéia,São Paulo,-22.107,-50.176
3841,Pompéu,Minas Gerais,-19.2257,-45.0141
3842,Pongaí,São Paulo,-21.7396,-49.3604
3843,Ponta de Pedras,Pará,-1.39587,-48.8661
3844,Ponta Grossa,Paraná,-25.0916,-50.1668
3845,Ponta Porã,Mato Grosso do Sul,-22.5296,-55.7203
3846,Pontal,São Paulo,-21.0216,-48.0423
3847,Pontal do Araguaia,Mato Grosso,-15.9274,-52.3273
3848,Pontal do Paraná,Paraná,-25.6735,-48.5111
3849,Pontalina,Goiás,-17.5225,-49.4489
3850,Pontalinda,São Paulo,-20.4396,-50.5258
3851,Pontão,Rio Grande do Sul,-28.0585,-52.6791
3852,Ponte Alta,Santa Catarina,-27.4835,-50.3764
3853,Ponte Alta do Bom Jesus,Tocantins,-12.0853,-46.4825
3854,Ponte Alta do Norte,Santa Catarina,-27.1591,-50.4659
3855,Ponte Alta do Tocantins,Tocantins,-10.7481,-47.5276
3856,Ponte Branca,Mato Grosso,-16.7584,-52.8369
3857,Ponte Nova,Minas Gerais,-20.4111,-42.8978
3858,Ponte Preta,Rio Grande do Sul,-27.6587,-52.4848
3859,Ponte Serrada,Santa Catarina,-26.8733,-52.0112
3860,Pontes e Lacerda,Mato Grosso,-15.2219,-59.3435
3861,Pontes Gestal,São Paulo,-20.1727,-49.7064
3862,Ponto Belo,Espírito Santo,-18.1253,-40.5458
3863,Ponto Chique,Minas Gerais,-16.6282,-45.0588
3864,Ponto dos Volantes,Minas Gerais,-16.7473,-41.5025
3865,Ponto Novo,Bahia,-10.8653,-40.1311
3866,Populina,São Paulo,-19.9453,-50.538
3867,Poranga,Ceará,-4.74672,-40.9205
3868,Porangaba,São Paulo,-23.1761,-48.1195
3869,Porangatu,Goiás,-13.4391,-49.1503
3870,Porciúncula,Rio de Janeiro,-20.9632,-42.0465
3871,Porecatu,Paraná,-22.7537,-51.3795
3872,Portalegre,Rio Grande do Norte,-6.02064,-37.9865
3873,Portão,Rio Grande do Sul,-29.7015,-51.2429
3874,Porteirão,Goiás,-17.8143,-50.1653
3875,Porteiras,Ceará,-7.52265,-39.114
3876,Porteirinha,Minas Gerais,-15.7404,-43.0281
3877,Portel,Pará,-1.93639,-50.8194
3878,Portelândia,Goiás,-17.3554,-52.6799
3879,Porto,Piauí,-3.88815,-42.6998
3880,Porto Acre,Acre,-9.58138,-67.5478
3881,Porto Alegre,Rio Grande do Sul,-30.0318,-51.2065
3882,Porto Alegre do Norte,Mato Grosso,-10.8761,-51.6357
3883,Porto Alegre do Piauí,Piauí,-6.96423,-44.1837
3884,Porto Alegre do Tocantins,Tocantins,-11.618,-47.0621
3885,Porto Amazonas,Paraná,-25.54,-49.8946
3886,Porto Barreiro,Paraná,-25.5477,-52.4067
3887,Porto Belo,Santa Catarina,-27.1586,-48.5469
3888,Porto Calvo,Alagoas,-9.05195,-35.3987
3889,Porto da Folha,Sergipe,-9.91626,-37.2842
3890,Porto de Moz,Pará,-1.74691,-52.2361
3891,Porto de Pedras,Alagoas,-9.16006,-35.3049
3892,Porto do Mangue,Rio Grande do Norte,-5.05441,-36.7887
3893,Porto dos Gaúchos,Mato Grosso,-11.533,-57.4132
3894,Porto Esperidião,Mato Grosso,-15.857,-58.4619
3895,Porto Estrela,Mato Grosso,-15.3235,-57.2204
3896,Porto Feliz,São Paulo,-23.2093,-47.5251
3897,Porto Ferreira,São Paulo,-21.8498,-47.487
3898,Porto Firme,Minas Gerais,-20.6642,-43.0834
3899,Porto Franco,Maranhão,-6.34149,-47.3962
3900,Porto Grande,Amapá,0.71243,-51.4155
3901,Porto Lucena,Rio Grande do Sul,-27.8569,-55.01
3902,Porto Mauá,Rio Grande do Sul,-27.5796,-54.6657
3903,Porto Murtinho,Mato Grosso do Sul,-21.6981,-57.8836
3904,Porto Nacional,Tocantins,-10.7027,-48.408
