id,municipality,state,latitude,longitude
0,Abadia de Goiás,Goiás,-16.7573,-49.4412
1,Abadia dos Dourados,Minas Gerais,-18.4831,-47.3916
2,Abadiânia,Goiás,-16.197,-48.7057
3,Abaeté,Minas Gerais,-19.1551,-45.4444
4,Abaetetuba,Pará,-1.72183,-48.8788
5,Abaiara,Ceará,-7.34588,-39.0416
6,Abaíra,Bahia,-13.2488,-41.6619
7,Abaré,Bahia,-8.72073,-39.1162
8,Abatiá,Paraná,-23.3049,-50.3133
9,Abdon Batista,Santa Catarina,-27.6126,-51.0233
10,Abel Figueiredo,Pará,-4.95333,-48.3933
11,Abelardo Luz,Santa Catarina,-26.5716,-52.3229
12,Abre Campo,Minas Gerais,-20.2996,-42.4743
13,Abreu e Lima,Pernambuco,-7.90072,-34.8984
14,Abreulândia,Tocantins,-9.62101,-49.1518
15,Acaiaca,Minas Gerais,-20.359,-43.1439
16,Açailândia,Maranhão,-4.94714,-47.5004
17,Acajutiba,Bahia,-11.6575,-38.0197
18,Acará,Pará,-1.95383,-48.1985
19,Acarape,Ceará,-4.22083,-38.7055
20,Acaraú,Ceará,-2.88769,-40.1183
21,Acari,Rio Grande do Norte,-6.4282,-36.6347
22,Acauã,Piauí,-8.21954,-41.0831
23,Aceguá,Rio Grande do Sul,-31.8665,-54.1615
24,Acopiara,Ceará,-6.08911,-39.448
25,Acorizal,Mato Grosso,-15.194,-56.3632
26,Acrelândia,Acre,-9.82581,-66.8972
27,Acreúna,Goiás,-17.396,-50.3749
28,Açucena,Minas Gerais,-19.0671,-42.5419
29,Adamantina,São Paulo,-21.682,-51.0737
30,Adelândia,Goiás,-16.4127,-50.1657
31,Adolfo,São Paulo,-21.2325,-49.6451
32,Adrianópolis,Paraná,-24.6606,-48.9922
33,Adustina,Bahia,-10.5437,-38.1113
34,Afogados da Ingazeira,Pernambuco,-7.74312,-37.631
35,Afonso Bezerra,Rio Grande do Norte,-5.49229,-36.5075
36,Afonso Cláudio,Espírito Santo,-20.0778,-41.1261
37,Afonso Cunha,Maranhão,-4.13631,-43.3275
38,Afrânio,Pernambuco,-8.51136,-41.0095
39,Afuá,Pará,-0.154874,-50.3861
40,Agrestina,Pernambuco,-8.45966,-35.9447
41,Agricolândia,Piauí,-5.79676,-42.6664
42,Agrolândia,Santa Catarina,-27.4087,-49.822
43,Agronômica,Santa Catarina,-27.2662,-49.708
44,Água Azul do Norte,Pará,-6.79053,-50.4791
45,Água Boa,Minas Gerais,-17.9914,-42.3806
46,Água Boa,Mato Grosso,-14.051,-52.1601
47,Água Branca,Alagoas,-9.262,-37.938
48,Água Branca,Piauí,-5.88856,-42.637
49,Água Branca,Paraíba,-7.51144,-37.6357
50,Água Clara,Mato Grosso do Sul,-20.4452,-52.879
51,Água Comprida,Minas Gerais,-20.0576,-48.1069
52,Água Doce,Santa Catarina,-26.9985,-51.5528
53,Água Doce do Maranhão,Maranhão,-2.84048,-42.1189
54,Água Doce do Norte,Espírito Santo,-18.5482,-40.9854
55,Água Fria,Bahia,-11.8618,-38.7639
56,Água Fria de Goiás,Goiás,-14.9778,-47.7823
57,Água Limpa,Goiás,-18.0771,-48.7603
58,Água Nova,Rio Grande do Norte,-6.20351,-38.2941
59,Água Preta,Pernambuco,-8.70609,-35.5263
60,Água Santa,Rio Grande do Sul,-28.1672,-52.031
61,Aguaí,São Paulo,-22.0572,-46.9735
62,Aguanil,Minas Gerais,-20.9439,-45.3915
63,Águas Belas,Pernambuco,-9.11125,-37.1226
64,Águas da Prata,São Paulo,-21.9319,-46.7176
65,Águas de Chapecó,Santa Catarina,-27.0754,-52.9808
66,Águas de Lindóia,São Paulo,-22.4733,-46.6314
67,Águas de Santa Bárbara,São Paulo,-22.8812,-49.2421
68,Águas de São Pedro,São Paulo,-22.5977,-47.8734
69,Águas Formosas,Minas Gerais,-17.0802,-40.9384
70,Águas Frias,Santa Catarina,-26.8794,-52.8568
71,Águas Lindas de Goiás,Goiás,-15.7617,-48.2816
72,Águas Mornas,Santa Catarina,-27.6963,-48.8243
73,Águas Vermelhas,Minas Gerais,-15.7431,-41.4571
74,Agudo,Rio Grande do Sul,-29.6447,-53.2515
75,Agudos,São Paulo,-22.4694,-48.9863
76,Agudos do Sul,Paraná,-25.9899,-49.3343
77,Águia Branca,Espírito Santo,-18.9846,-40.7437
78,Aguiar,Paraíba,-7.0918,-38.1681
79,Aguiarnópolis,Tocantins,-6.55409,-47.4702
80,Aimorés,Minas Gerais,-19.5007,-41.0746
81,Aiquara,Bahia,-14.1269,-39.8937
82,Aiuaba,Ceará,-6.57122,-40.1178
83,Aiuruoca,Minas Gerais,-21.9736,-44.6042
84,Ajuricaba,Rio Grande do Sul,-28.2342,-53.7757
85,Alagoa,Minas Gerais,-22.171,-44.6413
86,Alagoa Grande,Paraíba,-7.03943,-35.6206
87,Alagoa Nova,Paraíba,-7.05377,-35.7591
88,Alagoinha,Paraíba,-6.94657,-35.5332
89,Alagoinha,Pernambuco,-8.4665,-36.7788
90,Alagoinha do Piauí,Piauí,-7.00039,-40.9282
91,Alagoinhas,Bahia,-12.1335,-38.4208
92,Alambari,São Paulo,-23.5503,-47.898
93,Albertina,Minas Gerais,-22.2018,-46.6139
94,Alcântara,Maranhão,-2.39574,-44.4062
95,Alcântaras,Ceará,-3.58537,-40.5479
96,Alcantil,Paraíba,-7.73668,-36.0511
97,Alcinópolis,Mato Grosso do Sul,-18.3255,-53.7042
98,Alcobaça,Bahia,-17.5195,-39.2036
99,Aldeias Altas,Maranhão,-4.62621,-43.4689
100,Alecrim,Rio Grande do Sul,-27.6579,-54.7649
101,Alegre,Espírito Santo,-20.758,-41.5382
102,Alegrete,Rio Grande do Sul,-29.7902,-55.7949
103,Alegrete do Piauí,Piauí,-7.24196,-40.8566
104,Alegria,Rio Grande do Sul,-27.8345,-54.0557
105,Além Paraíba,Minas Gerais,-21.8797,-42.7176
106,Alenquer,Pará,-1.94623,-54.7384
107,Alexandria,Rio Grande do Norte,-6.40533,-38.0142
108,Alexânia,Goiás,-16.0834,-48.5076
109,Alfenas,Minas Gerais,-21.4256,-45.9477
110,Alfredo Chaves,Espírito Santo,-20.6396,-40.7543
111,Alfredo Marcondes,São Paulo,-21.9527,-51.414
112,Alfredo Vasconcelos,Minas Gerais,-21.1535,-43.7718
113,Alfredo Wagner,Santa Catarina,-27.7001,-49.3273
114,Algodão de Jandaíra,Paraíba,-6.89292,-36.0129
115,Alhandra,Paraíba,-7.42977,-34.9057
116,Aliança,Pernambuco,-7.60398,-35.2227
117,Aliança do Tocantins,Tocantins,-11.3056,-48.9361
118,Almadina,Bahia,-14.7089,-39.6415
119,Almas,Tocantins,-11.5706,-47.1792
120,Almenara,Minas Gerais,-16.1785,-40.6942
121,Almino Afonso,Rio Grande do Norte,-6.1475,-37.7636
122,Almirante Tamandaré,Paraná,-25.3188,-49.3037
123,Almirante Tamandaré do Sul,Rio Grande do Sul,-28.1149,-52.9142
124,Aloândia,Goiás,-17.7292,-49.4769
125,Alpercata,Minas Gerais,-18.974,-41.97
126,Alpestre,Rio Grande do Sul,-27.2502,-53.0341
127,Alpinópolis,Minas Gerais,-20.8631,-46.3878
128,Alta Floresta,Mato Grosso,-9.86674,-56.0867
129,Alta Floresta D'Oeste,Rondônia,-11.9283,-61.9953
130,Altair,São Paulo,-20.5242,-49.0571
131,Altamira,Pará,-3.20407,-52.21
132,Altamira do Maranhão,Maranhão,-4.16598,-45.4706
133,Altamira do Paraná,Paraná,-24.7983,-52.7128
134,Altaneira,Ceará,-6.99837,-39.7356
135,Alterosa,Minas Gerais,-21.2488,-46.1387
136,Altinho,Pernambuco,-8.48482,-36.0644
137,Altinópolis,São Paulo,-21.0214,-47.3712
138,Alto Alegre,Rio Grande do Sul,-28.7769,-52.9893
139,Alto Alegre,Roraima,2.98858,-61.3072
140,Alto Alegre,São Paulo,-21.5811,-50.168
141,Alto Alegre do Maranhão,Maranhão,-4.213,-44.446
142,Alto Alegre do Pindaré,Maranhão,-3.66689,-45.8421
143,Alto Alegre dos Parecis,Rondônia,-12.132,-61.835
144,Alto Araguaia,Mato Grosso,-17.3153,-53.2181
145,Alto Bela Vista,Santa Catarina,-27.4333,-51.9044
146,Alto Boa Vista,Mato Grosso,-11.6732,-51.3883
147,Alto Caparaó,Minas Gerais,-20.431,-41.8738
148,Alto do Rodrigues,Rio Grande do Norte,-5.28186,-36.75
149,Alto Feliz,Rio Grande do Sul,-29.3919,-51.3123
150,Alto Garças,Mato Grosso,-16.9462,-53.5272
151,Alto Horizonte,Goiás,-14.1978,-49.3378
152,Alto Jequitibá,Minas Gerais,-20.4208,-41.967
153,Alto Longá,Piauí,-5.25634,-42.2096
154,Alto Paraguai,Mato Grosso,-14.5137,-56.4776
155,Alto Paraíso,Rondônia,-9.71429,-63.3188
156,Alto Paraíso de Goiás,Goiás,-14.1305,-47.51
157,Alto Paraná,Paraná,-23.1312,-52.3189
158,Alto Parnaíba,Maranhão,-9.10273,-45.9303
159,Alto Piquiri,Paraná,-24.0224,-53.44
160,Alto Rio Doce,Minas Gerais,-21.0281,-43.4067
161,Alto Rio Novo,Espírito Santo,-19.0618,-41.0209
162,Alto Santo,Ceará,-5.50894,-38.2743
163,Alto Taquari,Mato Grosso,-17.8241,-53.2792
164,Altônia,Paraná,-23.8759,-53.8958
165,Altos,Piauí,-5.03888,-42.4612
166,Alumínio,São Paulo,-23.5306,-47.2546
167,Alvarães,Amazonas,-3.22727,-64.8007
168,Alvarenga,Minas Gerais,-19.4174,-41.7317
169,Álvares Florence,São Paulo,-20.3203,-49.9141
170,Álvares Machado,São Paulo,-22.0764,-51.4722
171,Álvaro de Carvalho,São Paulo,-22.0841,-49.719
172,Alvinlândia,São Paulo,-22.4435,-49.7623
173,Alvinópolis,Minas Gerais,-20.1098,-43.0535
174,Alvorada,Rio Grande do Sul,-29.9914,-51.0809
175,Alvorada,Tocantins,-12.4785,-49.1249
176,Alvorada D'Oeste,Rondônia,-11.3463,-62.2847
177,Alvorada de Minas,Minas Gerais,-18.7334,-43.3638
178,Alvorada do Gurguéia,Piauí,-8.42418,-43.777
179,Alvorada do Norte,Goiás,-14.4797,-46.491
180,Alvorada do Sul,Paraná,-22.7813,-51.2297
181,Amajari,Roraima,3.64571,-61.3692
182,Amambai,Mato Grosso do Sul,-23.1058,-55.2253
183,Amapá,Amapá,2.05267,-50.7957
184,Amapá do Maranhão,Maranhão,-1.67524,-46.0024
185,Amaporã,Paraná,-23.0943,-52.7866
186,Amaraji,Pernambuco,-8.37691,-35.4501
187,Amaral Ferrador,Rio Grande do Sul,-30.8756,-52.2509
188,Amaralina,Goiás,-13.9236,-49.2962
189,Amarante,Piauí,-6.24304,-42.8433
190,Amarante do Maranhão,Maranhão,-5.56913,-46.7473
191,Amargosa,Bahia,-13.0215,-39.602
192,Amaturá,Amazonas,-3.37455,-68.2005
193,Amélia Rodrigues,Bahia,-12.3914,-38.7563
194,América Dourada,Bahia,-11.4429,-41.439
195,Americana,São Paulo,-22.7374,-47.3331
196,Americano do Brasil,Goiás,-16.2514,-49.9831
197,Américo Brasiliense,São Paulo,-21.7288,-48.1147
198,Américo de Campos,São Paulo,-20.2985,-49.7359
199,Ametista do Sul,Rio Grande do Sul,-27.3607,-53.183
200,Amontada,Ceará,-3.36017,-39.8288
201,Amorinópolis,Goiás,-16.6151,-51.0919
202,Amparo,Paraíba,-7.55502,-37.0628
203,Amparo,São Paulo,-22.7088,-46.772
204,Amparo de São Francisco,Sergipe,-10.1348,-36.935
205,Amparo do Serra,Minas Gerais,-20.5051,-42.8009
206,Ampére,Paraná,-25.9168,-53.4686
207,Anadia,Alagoas,-9.68489,-36.3078
208,Anagé,Bahia,-14.6151,-41.1356
209,Anahy,Paraná,-24.6449,-53.1332
210,Anajás,Pará,-0.996811,-49.9354
211,Anajatuba,Maranhão,-3.26269,-44.6126
212,Analândia,São Paulo,-22.1289,-47.6619
213,Anamã,Amazonas,-3.56697,-61.3963
214,Ananás,Tocantins,-6.36437,-48.0735
215,Ananindeua,Pará,-1.36391,-48.3743
216,Anápolis,Goiás,-16.3281,-48.953
217,Anapu,Pará,-3.46985,-51.2003
218,Anapurus,Maranhão,-3.67577,-43.1014
219,Anastácio,Mato Grosso do Sul,-20.4823,-55.8104
220,Anaurilândia,Mato Grosso do Sul,-22.1852,-52.7191
221,Anchieta,Espírito Santo,-20.7955,-40.6425
222,Anchieta,Santa Catarina,-26.5382,-53.3319
223,Andaraí,Bahia,-12.8049,-41.3297
224,Andirá,Paraná,-23.0533,-50.2304
225,Andorinha,Bahia,-10.3482,-39.8391
226,Andradas,Minas Gerais,-22.0695,-46.5724
227,Andradina,São Paulo,-20.8948,-51.3786
228,André da Rocha,Rio Grande do Sul,-28.6283,-51.5797
229,Andrelândia,Minas Gerais,-21.7411,-44.3117
230,Angatuba,São Paulo,-23.4917,-48.4139
231,Angelândia,Minas Gerais,-17.7279,-42.2641
232,Angélica,Mato Grosso do Sul,-22.1527,-53.7708
233,Angelim,Pernambuco,-8.88429,-36.2902
234,Angelina,Santa Catarina,-27.5704,-48.9879
235,Angical,Bahia,-12.0063,-44.7003
236,Angical do Piauí,Piauí,-6.08786,-42.74
237,Angico,Tocantins,-6.39179,-47.8611
238,Angicos,Rio Grande do Norte,-5.65792,-36.6094
239,Angra dos Reis,Rio de Janeiro,-23.0011,-44.3196
240,Anguera,Bahia,-12.1462,-39.2462
241,Ângulo,Paraná,-23.1946,-51.9154
242,Anhanguera,Goiás,-18.3339,-48.2204
243,Anhembi,São Paulo,-22.793,-48.1336
244,Anhumas,São Paulo,-22.2934,-51.3895
245,Anicuns,Goiás,-16.4642,-49.9617
246,Anísio de Abreu,Piauí,-9.18564,-43.0494
247,Anita Garibaldi,Santa Catarina,-27.6897,-51.1271
248,Anitápolis,Santa Catarina,-27.9012,-49.1316
249,Anori,Amazonas,-3.74603,-61.6575
250,Anta Gorda,Rio Grande do Sul,-28.9698,-52.0102
251,Antas,Bahia,-10.3856,-38.3401
252,Antonina,Paraná,-25.4386,-48.7191
253,Antonina do Norte,Ceará,-6.76919,-39.987
254,Antônio Almeida,Piauí,-7.21276,-44.1889
255,Antônio Cardoso,Bahia,-12.4335,-39.1176
256,Antônio Carlos,Santa Catarina,-27.5191,-48.766
257,Antônio Carlos,Minas Gerais,-21.321,-43.7451
258,Antônio Dias,Minas Gerais,-19.6491,-42.8732
259,Antônio Gonçalves,Bahia,-10.5767,-40.2785
260,Antônio João,Mato Grosso do Sul,-22.1927,-55.9517
261,Antônio Martins,Rio Grande do Norte,-6.21367,-37.8834
262,Antônio Olinto,Paraná,-25.9804,-50.1972
263,Antônio Prado,Rio Grande do Sul,-28.8565,-51.2883
264,Antônio Prado de Minas,Minas Gerais,-21.0192,-42.1109
265,Aparecida,São Paulo,-22.8495,-45.2325
266,Aparecida,Paraíba,-6.78466,-38.0803
267,Aparecida d'Oeste,São Paulo,-20.4487,-50.8835
268,Aparecida de Goiânia,Goiás,-16.8198,-49.2469
269,Aparecida do Rio Doce,Goiás,-18.2941,-51.1516
270,Aparecida do Rio Negro,Tocantins,-9.94139,-47.9638
271,Aparecida do Taboado,Mato Grosso do Sul,-20.0873,-51.0961
272,Aperibé,Rio de Janeiro,-21.6252,-42.1017
273,Apiacá,Espírito Santo,-21.1523,-41.5693
274,Apiacás,Mato Grosso,-9.53981,-57.4587
275,Apiaí,São Paulo,-24.5108,-48.8443
276,Apicum-Açu,Maranhão,-1.45862,-45.0864
277,Apiúna,Santa Catarina,-27.0375,-49.3885
278,Apodi,Rio Grande do Norte,-5.65349,-37.7946
279,Aporá,Bahia,-11.6577,-38.0814
280,Aporé,Goiás,-18.9607,-51.9232
281,Apuarema,Bahia,-13.8542,-39.7501
282,Apucarana,Paraná,-23.55,-51.4635
283,Apuí,Amazonas,-7.19409,-59.896
284,Apuiarés,Ceará,-3.94506,-39.4359
285,Aquidabã,Sergipe,-10.278,-37.0148
286,Aquidauana,Mato Grosso do Sul,-20.4666,-55.7868
287,Aquiraz,Ceará,-3.89929,-38.3896
288,Arabutã,Santa Catarina,-27.1587,-52.1423
289,Araçagi,Paraíba,-6.84374,-35.3737
290,Araçaí,Minas Gerais,-19.1955,-44.2493
291,Aracaju,Sergipe,-10.9091,-37.0677
292,Araçariguama,São Paulo,-23.4366,-47.0608
293,Araças,Bahia,-12.22,-38.2027
294,Aracati,Ceará,-4.55826,-37.7679
295,Aracatu,Bahia,-14.428,-41.4648
296,Araçatuba,São Paulo,-21.2076,-50.4401
297,Araci,Bahia,-11.3253,-38.9584
298,Aracitaba,Minas Gerais,-21.3446,-43.3736
299,Araçoiaba,Pernambuco,-7.78391,-35.0809
300,Aracoiaba,Ceará,-4.36872,-38.8125
301,Araçoiaba da Serra,São Paulo,-23.5029,-47.6166
302,Aracruz,Espírito Santo,-19.82,-40.2764
303,Araçu,Goiás,-16.3563,-49.6804
304,Araçuaí,Minas Gerais,-16.8523,-42.0637
305,Aragarças,Goiás,-15.8955,-52.2372
306,Aragoiânia,Goiás,-16.9087,-49.4476
307,Aragominas,Tocantins,-7.16005,-48.5291
308,Araguacema,Tocantins,-8.80755,-49.5569
309,Araguaçu,Tocantins,-12.9289,-49.8231
310,Araguaiana,Mato Grosso,-15.7291,-51.8341
311,Araguaína,Tocantins,-7.19238,-48.2044
312,Araguainha,Mato Grosso,-16.857,-53.0318
313,Araguanã,Maranhão,-2.94644,-45.6589
314,Araguanã,Tocantins,-6.58225,-48.6395
315,Araguapaz,Goiás,-15.0909,-50.6315
316,Araguari,Minas Gerais,-18.6456,-48.1934
317,Araguatins,Tocantins,-5.64659,-48.1232
318,Araioses,Maranhão,-2.89091,-41.905
319,Aral Moreira,Mato Grosso do Sul,-22.9385,-55.6334
320,Aramari,Bahia,-12.0884,-38.4969
321,Arambaré,Rio Grande do Sul,-30.9092,-51.5046
322,Arame,Maranhão,-4.88347,-46.0032
323,Aramina,São Paulo,-20.0882,-47.7873
324,Arandu,São Paulo,-23.1386,-49.0487
325,Arantina,Minas Gerais,-21.9102,-44.2555
326,Arapeí,São Paulo,-22.6717,-44.4441
327,Arapiraca,Alagoas,-9.75487,-36.6615
328,Arapoema,Tocantins,-7.65463,-49.0637
329,Araponga,Minas Gerais,-20.6686,-42.5178
330,Arapongas,Paraná,-23.4153,-51.4259
331,Araporã,Minas Gerais,-18.4357,-49.1847
332,Arapoti,Paraná,-24.1548,-49.8285
333,Arapuã,Paraná,-24.3132,-51.7856
334,Arapuá,Minas Gerais,-19.0268,-46.1484
335,Araputanga,Mato Grosso,-15.4641,-58.3425
336,Araquari,Santa Catarina,-26.3754,-48.7188
337,Arara,Paraíba,-6.82813,-35.7552
338,Araranguá,Santa Catarina,-28.9356,-49.4918
339,Araraquara,São Paulo,-21.7845,-48.178
340,Araras,São Paulo,-22.3572,-47.3842
341,Ararendá,Ceará,-4.74567,-40.831
342,Arari,Maranhão,-3.45214,-44.7665
343,Araricá,Rio Grande do Sul,-29.6168,-50.9291
344,Araripe,Ceará,-7.21319,-40.1359
345,Araripina,Pernambuco,-7.57073,-40.494
346,Araruama,Rio de Janeiro,-22.8697,-42.3326
347,Araruna,Paraíba,-6.54848,-35.7498
348,Araruna,Paraná,-23.9315,-52.5021
349,Arataca,Bahia,-15.2651,-39.419
350,Aratiba,Rio Grande do Sul,-27.3978,-52.2975
351,Aratuba,Ceará,-4.41229,-39.0471
352,Aratuípe,Bahia,-13.0716,-39.0038
353,Arauá,Sergipe,-11.2614,-37.6201
354,Araucária,Paraná,-25.5859,-49.4047
355,Araújos,Minas Gerais,-19.9405,-45.1671
356,Araxá,Minas Gerais,-19.5902,-46.9438
357,Arceburgo,Minas Gerais,-21.359,-46.9401
358,Arco-Íris,São Paulo,-21.7728,-50.466
359,Arcos,Minas Gerais,-20.2863,-45.5373
360,Arcoverde,Pernambuco,-8.41519,-37.0577
361,Areado,Minas Gerais,-21.3572,-46.1421
362,Areal,Rio de Janeiro,-22.2283,-43.1118
363,Arealva,São Paulo,-22.031,-48.9135
364,Areia,Paraíba,-6.96396,-35.6977
365,Areia Branca,Rio Grande do Norte,-4.95254,-37.1252
366,Areia Branca,Sergipe,-10.758,-37.3251
367,Areia de Baraúnas,Paraíba,-7.11702,-36.9404
368,Areial,Paraíba,-7.04789,-35.9313
369,Areias,São Paulo,-22.5786,-44.6992
370,Areiópolis,São Paulo,-22.6672,-48.6681
371,Arenápolis,Mato Grosso,-14.4472,-56.8437
372,Arenópolis,Goiás,-16.3837,-51.5563
373,Arês,Rio Grande do Norte,-6.18831,-35.1608
374,Argirita,Minas Gerais,-21.6083,-42.8292
375,Aricanduva,Minas Gerais,-17.8666,-42.5533
376,Arinos,Minas Gerais,-15.9187,-46.1043
377,Aripuanã,Mato Grosso,-10.1723,-59.4568
378,Ariquemes,Rondônia,-9.90571,-63.0325
379,Ariranha,São Paulo,-21.1872,-48.7904
380,Ariranha do Ivaí,Paraná,-24.3857,-51.5839
381,Armação dos Búzios,Rio de Janeiro,-22.7528,-41.8846
382,Armazém,Santa Catarina,-28.2448,-49.0215
383,Arneiroz,Ceará,-6.3165,-40.1653
384,Aroazes,Piauí,-6.11022,-41.7822
385,Aroeiras,Paraíba,-7.54473,-35.7066
386,Arraial,Piauí,-6.65075,-42.5418
387,Arraial do Cabo,Rio de Janeiro,-22.9774,-42.0267
388,Arraias,Tocantins,-12.9287,-46.9359
389,Arroio do Meio,Rio Grande do Sul,-29.4014,-51.9557
390,Arroio do Padre,Rio Grande do Sul,-31.4389,-52.4246
391,Arroio do Sal,Rio Grande do Sul,-29.5439,-49.8895
392,Arroio do Tigre,Rio Grande do Sul,-29.3348,-53.0966
393,Arroio dos Ratos,Rio Grande do Sul,-30.0875,-51.7275
394,Arroio Grande,Rio Grande do Sul,-32.2327,-53.0862
395,Arroio Trinta,Santa Catarina,-26.9257,-51.3407
396,Artur Nogueira,São Paulo,-22.5727,-47.1727
397,Aruanã,Goiás,-14.9166,-51.075
398,Arujá,São Paulo,-23.3965,-46.32
399,Arvoredo,Santa Catarina,-27.0748,-52.4543
400,Arvorezinha,Rio Grande do Sul,-28.8737,-52.1781
401,Ascurra,Santa Catarina,-26.9548,-49.3783
402,Aspásia,São Paulo,-20.16,-50.728
403,Assaí,Paraná,-23.3697,-50.8459
404,Assaré,Ceará,-6.8669,-39.8689
405,Assis,São Paulo,-22.66,-50.4183
406,Assis Brasil,Acre,-10.9298,-69.5738
407,Assis Chateaubriand,Paraná,-24.4168,-53.5213
408,Assunção,Paraíba,-7.07231,-36.725
409,Assunção do Piauí,Piauí,-5.865,-41.0389
410,Astolfo Dutra,Minas Gerais,-21.3184,-42.8572
411,Astorga,Paraná,-23.2318,-51.6668
412,Atalaia,Alagoas,-9.5119,-36.0086
413,Atalaia,Paraná,-23.1517,-52.0551
414,Atalaia do Norte,Amazonas,-4.37055,-70.1967
415,Atalanta,Santa Catarina,-27.4219,-49.7789
416,Ataléia,Minas Gerais,-18.0438,-41.1149
417,Atibaia,São Paulo,-23.1171,-46.5563
418,Atilio Vivacqua,Espírito Santo,-20.913,-41.1986
419,Augustinópolis,Tocantins,-5.46863,-47.8863
420,Augusto de Lima,Minas Gerais,-18.0997,-44.2655
421,Augusto Pestana,Rio Grande do Sul,-28.5172,-53.9883
422,Áurea,Rio Grande do Sul,-27.6936,-52.0505
423,Aurelino Leal,Bahia,-14.321,-39.329
424,Auriflama,São Paulo,-20.6836,-50.5572
425,Aurilândia,Goiás,-16.6773,-50.4641
426,Aurora,Ceará,-6.93349,-38.9742
427,Aurora,Santa Catarina,-27.3098,-49.6295
428,Aurora do Pará,Pará,-2.14898,-47.5677
429,Aurora do Tocantins,Tocantins,-12.7105,-46.4076
430,Autazes,Amazonas,-3.58574,-59.1256
431,Avaí,São Paulo,-22.1514,-49.3356
432,Avanhandava,São Paulo,-21.4584,-49.9509
433,Avaré,São Paulo,-23.1067,-48.9251
434,Aveiro,Pará,-3.60841,-55.3199
435,Avelino Lopes,Piauí,-10.1345,-43.9563
436,Avelinópolis,Goiás,-16.4672,-49.7579
437,Axixá,Maranhão,-2.83939,-44.062
438,Axixá do Tocantins,Tocantins,-5.61275,-47.7701
439,Babaçulândia,Tocantins,-7.20923,-47.7613
440,Bacabal,Maranhão,-4.22447,-44.7832
441,Bacabeira,Maranhão,-2.96452,-44.3164
442,Bacuri,Maranhão,-1.6965,-45.1328
443,Bacurituba,Maranhão,-2.71,-44.7329
444,Bady Bassitt,São Paulo,-20.9197,-49.4385
445,Baependi,Minas Gerais,-21.957,-44.8874
446,Bagé,Rio Grande do Sul,-31.3297,-54.0999
447,Bagre,Pará,-1.90057,-50.1987
448,Baía da Traição,Paraíba,-6.69209,-34.9381
449,Baía Formosa,Rio Grande do Norte,-6.37161,-35.0033
450,Baianópolis,Bahia,-12.3016,-44.5388
451,Baião,Pará,-2.79021,-49.6694
452,Baixa Grande,Bahia,-11.9519,-40.169
453,Baixa Grande do Ribeiro,Piauí,-7.84903,-45.219
454,Baixio,Ceará,-6.71945,-38.7134
455,Baixo Guandu,Espírito Santo,-19.5213,-41.0109
456,Balbinos,São Paulo,-21.8963,-49.3619
457,Baldim,Minas Gerais,-19.2832,-43.9613
458,Baliza,Goiás,-16.1966,-52.5393
459,Balneário Arroio do Silva,Santa Catarina,-28.9806,-49.4237
460,Balneário Barra do Sul,Santa Catarina,-26.4597,-48.6123
461,Balneário Camboriú,Santa Catarina,-26.9926,-48.6352
462,Balneário Gaivota,Santa Catarina,-29.1527,-49.5841
463,Balneário Pinhal,Rio Grande do Sul,-30.2419,-50.2337
464,Balsa Nova,Paraná,-25.5804,-49.6291
465,Bálsamo,São Paulo,-20.7348,-49.5865
466,Balsas,Maranhão,-7.53214,-46.0372
467,Bambuí,Minas Gerais,-20.0166,-45.9754
468,Banabuiú,Ceará,-5.30454,-38.9132
469,Bananal,São Paulo,-22.6819,-44.3281
470,Bananeiras,Paraíba,-6.74775,-35.6246
471,Bandeira,Minas Gerais,-15.8783,-40.5622
472,Bandeira do Sul,Minas Gerais,-21.7308,-46.3833
473,Bandeirante,Santa Catarina,-26.7705,-53.6413
474,Bandeirantes,Mato Grosso do Sul,-19.9275,-54.3585
475,Bandeirantes,Paraná,-23.1078,-50.3704
476,Bandeirantes do Tocantins,Tocantins,-7.75612,-48.5836
477,Bannach,Pará,-7.34779,-50.3959
478,Banzaê,Bahia,-10.5788,-38.6212
479,Barão,Rio Grande do Sul,-29.3725,-51.4949
480,Barão de Antonina,São Paulo,-23.6284,-49.5634
481,Barão de Cocais,Minas Gerais,-19.9389,-43.4755
482,Barão de Cotegipe,Rio Grande do Sul,-27.6208,-52.3798
483,Barão de Grajaú,Maranhão,-6.74463,-43.0261
484,Barão de Melgaço,Mato Grosso,-16.2067,-55.9623
485,Barão de Monte Alto,Minas Gerais,-21.2444,-42.2372
486,Barão do Triunfo,Rio Grande do Sul,-30.3891,-51.7384
487,Baraúna,Rio Grande do Norte,-5.06977,-37.6129
488,Baraúna,Paraíba,-6.63484,-36.2601
489,Barbacena,Minas Gerais,-21.2214,-43.7703
490,Barbalha,Ceará,-7.2982,-39.3021
491,Barbosa,São Paulo,-21.2657,-49.9518
492,Barbosa Ferraz,Paraná,-24.0334,-52.004
493,Barcarena,Pará,-1.51187,-48.6195
494,Barcelona,Rio Grande do Norte,-5.94284,-35.9247
495,Barcelos,Amazonas,-0.983373,-62.9311
496,Bariri,São Paulo,-22.073,-48.7438
497,Barra,Bahia,-11.0859,-43.1459
498,Barra Bonita,São Paulo,-22.4909,-48.5583
499,Barra Bonita,Santa Catarina,-26.654,-53.44
500,Barra D'Alcântara,Piauí,-6.51645,-42.1146
501,Barra da Estiva,Bahia,-13.6237,-41.3347
